time,content,comments,retweets,quotes,hearts
2023-04-22 15:00:00,"Houston, TX! Come spend the afternoon with Lisa and me as we sign bottles of @FosforoMezcal at @Specs1962 Houston

We'll be there today from 2-4p

Can't wait to see you there!",85,9,2,229
2023-04-21 23:00:00,"I heard Houston loves Mezcal, so Lisa and I are heading to the Lone Star State TOMORROW for a bottle signing at @Specs1962 in Houston!

We'll be hanging out, talking stocks & spirits, and showing off @FosforoMezcal 

This Saturday
2410 Smith Street
2-4p

See you there!",65,10,1,154
2023-04-21 17:00:00,"Houston, TX!

I'm heading to the Bayou City this Saturday with my wife Lisa and @FosforoMezcal

Come experience the fire that is Fósforo!

@Specs1962 Houston
2410 Smith Street
We'll be signing bottles Saturday from 2-4p",39,4,3,94
2023-04-21 10:56:00,Problematic for Club Name Ford.. hope pinned on 150 Lightning,56,8,5,83
2023-04-21 08:00:00,As a veteran of these wars i totally agree,33,2,1,48
2023-04-21 07:51:00,Endless grind down of investors here as earnings season steps into reporting numbness. It all becomes very scattershot here. I liked CSX. But will people even pay attention???,62,10,6,166
2023-04-21 01:22:00,When ATT said the $1b in free cash flow was consistent with their expectations they committed to an ill-advised strategy bordering on dissembling,26,4,3,108
2023-04-21 01:16:00,I was surprised IBM closed down today. I thought it was a decent quarter.,119,20,11,308
2023-04-20 23:00:00,"Club Members, Cramericans & Mezcal afficionados of Houston, let's hang out this Saturday at @Specs1962!

I'll be signing bottles of @FosforoMezcal with my wife Lisa at the Houston Spec's this Saturday from 2-4p. Can't wait to show H-Town what we've been working on",75,9,7,183
2023-04-20 21:07:00,"Lisa and I are on our way to the Lone Star State with ⁦@FosforoMezcal⁩!

We will be at ⁦@Specs1962⁩ in Houston this Saturday from 2-4p. 

Come talk about stocks and spirits with us… we can’t wait to meet you! 

📍2410 State Street, Houston",21,1,3,99
2023-04-20 21:01:00,you interested in a $3 stock that i like very much and i never recommend $3 stocks? Watch tonight..,625,28,59,827
2023-04-20 20:49:00,"Nucor is doing something i have never seen before,  making a ton of money no matter what the environment. Helps that there is no more dumping.",67,8,5,151
2023-04-20 20:48:00,"I hate to see people lose their jobs but Amazon needs to trim down, and they are listening!!! Tonight Whole Foods...",96,17,12,254
2023-04-20 20:32:00,You know we love Nucor.. it is on not done.,79,6,13,148
2023-04-20 19:06:00,"On the Twoish, our affectionate name for the Home Stretch, we have some stocks where you might want to take action now",36,4,2,68
2023-04-20 17:39:00,Stay tuned! @FosforoMezcal,11,2,0,36
2023-04-20 17:17:00,🙌,11,3,1,40
2023-04-20 16:57:00,"Hey Houston, TX!

I'm heading to the Bayou City this Saturday with my wife Lisa and @FosforoMezcal 

Let's talk stocks & spirits over our Tobala which I know will quickly become your new favorite mezcal

📍@Specs1962 Houston
📍2410 Smith Street
⏰Saturday 2-4p",63,9,14,118
2023-04-20 13:00:00,Philly fed--worse than cold cheesesteak,41,9,7,116
2023-04-20 13:00:00,One of hardest days of the year,388,58,83,919
2023-04-20 09:36:00,We are always downstream from Europe in the morning as i said last night. Looking for buys!,87,23,26,194
2023-04-20 09:35:00,we are beginning to realize that office conversion into residential might be simply too expensive,51,15,6,188
2023-04-20 08:44:00,Taiwan Semi admits its costs about five times more to build a fab in US than in Taiwan..and you wanted to know why they would be so dominant?,74,35,8,346
2023-04-19 13:15:00,Western Alliance is back and it's stronger than ever!! that's the big takeaway so far!,205,37,50,426
2023-04-19 11:07:00,Getting near being oversold!,1229,225,642,1948
2023-04-18 20:55:00,Intuitive Surgical delivered on everything that it promised when they were on Mad Money last. Great job,44,10,4,142
2023-04-18 13:19:00,glued to this Dominion lawsuit,98,9,5,163
2023-04-18 07:56:00,"As Investing Club members know, i thought Wells Fargo reported a remarkable quarter and is buying the heck out of its stock. I think most of the regulatory issues are behind them",151,15,25,241
2023-04-18 07:49:00,Schwab's conference call was amazing. Just relentless suggestions that there was a calculated attempt to destroy the franchise. Could be an interesting opportunity if MS and GS are good,50,16,4,185
2023-04-17 15:12:00,"Watch Schwab. The bears need to break this one badly, it is so important to the banking crisis",135,33,28,401
2023-04-17 14:14:00,bad day at Roblox,193,20,29,507
2023-04-17 13:20:00,Way too negative but we did come in hot....,26,5,1,65
2023-04-17 13:19:00,Stock goes higher,213,22,57,308
2023-04-17 13:17:00,Does Schwab control this market today? Roblox??,59,10,3,157
2023-04-17 08:55:00,Tomorrow Apple opens in India and it could be one of those moments where analysts use the excitement to bump targets,189,37,33,515
2023-04-16 16:24:00,Boomer vs. Millennial. Fancy restaurant edition.,231,26,20,492
2023-04-16 12:44:00,"Thank you to the great people at @TotalWine in River Edge and Union for hosting me and my wife, Lisa, to showcase her @FosforoMezcal  . You were all so gracious! And, of course, thanks to all the great patrons who spent time with us",30,8,2,127
2023-04-15 16:09:00,River Edge ⁦@TotalWine⁩ Come on Over!,249,14,16,636
2023-04-15 15:10:00,"Headed to River Edge to sign bottles of Fosforo mezcal, at the great ⁦@TotalWine⁩ .",121,6,6,527
2023-04-15 14:00:00,"Today's the day! @FosforoMezcal is headed to River Edge and Union.

Can't wait for my home state to experience Fósforo. See you there!",19,9,0,85
2023-04-14 23:26:00,"Tomorrow’s the big day! 

We’ll be at ⁦@TotalWine⁩ in NJ to sign some bottles of @FosforoMezcal! 

Saturday April 15

📍Total Wine River Edge 12-1:30p
📍Total Wine Union 3-4:30p

Come experience the fire that is Fósforo!",39,5,6,81
2023-04-14 22:24:00,Proud Dad showcasing the most recent baking gig by my daughter!,90,11,3,692
2023-04-14 20:47:00,Everyone else has left. We're just getting started!!,210,34,52,460
2023-04-14 19:11:00,When @elonmusk wants to dominate AI who does he go to?According to the FT: NVIDIA!!!!!!!,512,122,138,1499
2023-04-14 17:49:00,"What are you up to tomorrow, NJ?

Heading to River Edge and Union with @FosforoMezcal and would love to see you there. 

Locations and times below⬇️",21,3,2,72
