time,content,comments,retweets,quotes,hearts
2011-12-29 16:03:00,"Also, as they say at school, some things are empirical, yet people often embrace the anecdotal less rigorous here which is annoying to me",0.0,,0.0,0
2011-12-29 16:02:00,I think people here need to learn the difference between $GLD (good) and $SLV--inferior and the miners (worst of all),0.0,,0.0,0
2011-12-29 16:01:00,Why do people confuse gold stocks with gold itself. Put up a chart of $AEM v. $GLD... Eye opening..Q-tip awards coming,0.0,,0.0,0
2011-12-29 15:39:00,"The creation of $TST, ne $TSCM is well described in Confessions for the sheer hell of what it was...",0.0,,0.0,0
2011-12-29 15:37:00,I have stated repeatedly that i don't like the gold and silver stocks and i have been right. Not changing my mind now,0.0,,0.0,0
2011-12-27 15:03:00,"Couple of quick ones: no i still don't like $SHLD, i still DO like $PIR and i still think that tech and int'l banks should be trimmed",0.0,,0.0,0
2011-12-27 15:00:00,"Boy, it is like the world is on hold.. Just penned  a piece about how $WFC should be running the country's housing program!",0.0,,,0
2011-12-25 16:14:00,So far it's a Very Merry One. And stock market free!!!!,0.0,,0.0,0
2011-12-25 02:29:00,Happy Holidays to all!!!!!,0.0,,0.0,0
2011-12-24 20:46:00,Jets total no shows,0.0,,,0
2011-12-23 20:00:00,"RT @gigaom: Analyst: Apple to skip iPad mini in 2012, keep low-cost iPad 2 instead dlvr.it/11snhy",0.0,,0.0,0
2011-12-23 15:30:00,WORK HARD PLAY HARD! My night at the Red Cadillac in Union NJ - ow.ly/88Op7,0.0,,0.0,0
2011-12-23 00:36:00,"Another long, hard show.. But i think the $HANS really helped people get that stock and $IYR is still cheap",0.0,,0.0,0
2011-12-22 20:00:00,RT @Forbes: CES 2012: 5 Trends To Watch onforb.es/tOmL02,0.0,,0.0,0
2011-12-22 13:57:00,"Been jammed working on cloud, oil, $BBBY--now we getting on the case, in three minutes!!!",0.0,,0.0,0
2011-12-22 10:21:00,$FXE and European markets continue positive judgment on the ouroboros plan... Roman Holiday continues,0.0,,0.0,0
2011-12-22 00:02:00,"Defcon 3 is tempting believe me, but we need to see this plan work for more than a couple of days -holiday period now",0.0,,0.0,0
2011-12-22 00:01:00,This was one of the hardest shows to do ever. Had to keep it light and fun but material was rigorous,0.0,,0.0,0
2011-12-21 20:59:00,We have Merry of Eat Drink and Be Merry tonight. Plus we answer a tweet from last night...,,,0.0,0
2011-12-21 19:09:00,"Put Brian Sullivan on right now. he is explaining this ECB move better than anyone.. Street Signs on CNBC. Man, he's clear on this!",0.0,,,0
2011-12-21 18:30:00,RT @gigaom: Mobile will take 15 percent of global online ad spend by 2016 dlvr.it/11Xx9X,0.0,,0.0,0
2011-12-21 15:23:00,"Remember, Dow Jones Index loaded with yield so hard to hammer!!!",0.0,,0.0,0
2011-12-21 15:20:00,$ZAGG increases revenue guidance but says nothing about EPS? What gives???,0.0,,,0
2011-12-21 13:59:00,Squawk on the Street in 30 seconds!!! Lookout--we rocking!,,,,0
2011-12-21 12:26:00,On to work on ouroboros  trade---short-term fix for Europe and the  awful $ORCL numbers,0.0,,,0
2011-12-21 11:55:00,"Today  Show in a few.  Talking multi-family  home construction, retail sales, employment",0.0,,,0
2011-12-21 09:47:00,I am calling it the ouroboros  plan-the snake that eats its own tail!!---See you on the Today Show at 7:05!,0.0,,0.0,0
2011-12-21 09:18:00,This ECB free money plan is terrific for gold. No more forced  sales for $GLD!,0.0,,0.0,0
2011-12-21 09:15:00,"$GLD, $FXE going the right way again....European forbearance plan day 2!",0.0,,,0
2011-12-21 02:20:00,$NKE still ramping after hours.. One of my absolute faves....,0.0,,0.0,0
2011-12-21 00:36:00,Carl Quintanilla and I on set on the Today show NOT the floor of the Exchange tomorrow morning at 7 :05 a.m.  tomorrow!!,0.0,,0.0,0
2011-12-21 00:35:00,"On the Today Show at the top of the show with my co-host Carl! How exciting. Then 2 hours of SOTS.. Need to study $NKE, $ORCL, $GIS...",0.0,,,0
2011-12-21 00:10:00,Many people don't understand Off the Charts. I am presenting someone else's view and don't always agree with it. I make that clear at end,0.0,,0.0,0
2011-12-21 00:04:00,"Gee, PAYX wasn't all that bullish tonight at all. Neither was $ORCL. A reminder of how tortured this recovery is....",0.0,,,0
