time,content,comments,retweets,quotes,hearts
2010-12-29 01:24:00,Cramer's 'Mad Money' Recap: Protecting Your Portfolio From the Unexpected http://t.st/1aDQto,0.0,,0.0,0
2010-12-28 13:00:00,Still trying to get out of here!!!  Incredible journey....,0.0,,0.0,0
2010-12-28 01:24:00,Cramer's 'Mad Money' Recap: Demystifying Wall Street http://t.st/1aD1BL,0.0,,0.0,0
2010-12-27 22:21:00,Pathetically still trying to get out of here....,0.0,,0.0,0
2010-12-27 17:45:00,5 Stocks with Blizzard-Like Insider Purchases http://t.st/3uNNt,0.0,,0.0,0
2010-12-27 17:15:00,"Gary Weiss' latest Opinion piece:  Resolutions for Obama, Wall Street  http://t.st/3uNI1",0.0,,,0
2010-12-27 16:39:00,#Gold Prices Shrug off Rate Hikes http://t.st/3uNF0,0.0,,0.0,0
2010-12-26 20:31:00,People not watching this Bears Jets non-defense (two supposed great defenses!) battle are missing big!,0.0,,0.0,0
2010-12-26 20:08:00,"Snow crushing plans, no trip and no game.. Grinch appears day after Christmas!",0.0,,,0
2010-12-25 15:25:00,Merry Christmas to all!,0.0,,0.0,0
2010-12-24 14:09:00,Thanks to all followers who gave subscriptions to http://bit.ly/bbYAPN for the holidays!,0.0,,0.0,0
2010-12-24 00:29:00,Cramer's 'Mad Money' Recap: Drifting Higher Into 2011 (Update 1) http://t.st/1aArB0,0.0,,0.0,0
2010-12-23 23:51:00,Lots of people ask if it is really me doing this.. Why wouldn't it be? Is the show any different from this?,0.0,,0.0,0
2010-12-23 23:17:00,Booyah to all!!!! And i hope you liked tonight's show!,0.0,,,0
2010-12-23 21:45:00,FADS CAN? Or Flash in the Pan! stay tuned for tonight's show!,0.0,,,0
2010-12-23 21:15:00,Auditors Play Defense on China Stocks - http://t.st/3tOlu,0.0,,0.0,0
2010-12-23 20:45:00,"Arena: Long, Hard 'Path' to Obesity Drug Approval - http://t.st/3tOjA",0.0,,,0
2010-12-23 20:15:00,First Solar: 1-Minute Trade - http://t.st/3tOhr,0.0,,0.0,0
2010-12-23 19:45:00,Consumer Sentiment Hits 6-Month High - http://t.st/3tOg0,0.0,,,0
2010-12-23 16:32:00,2 Names with Insider Buying - http://t.st/3tFB9,0.0,,0.0,0
2010-12-23 13:22:00,ketchgi52 $LVLT balance sheet VERY disappointing.. so i dont like it....,,,,0
2010-12-23 00:31:00,Cramer's 'Mad Money' Recap: Negative News Losing Pull (Update 1) http://t.st/1azyWZ,0.0,,0.0,0
2010-12-22 20:52:00,"Anyone interested in the bogus Chinese stocks--the reverse merger  ones, you MUST go to www.thestreet.com to read the true story!!!!!!",0.0,,0.0,0
2010-12-22 20:30:00,Overlooked #Industrials for 2011 http://t.st/3tgQs,0.0,,0.0,0
2010-12-22 20:05:00,"Efficient, Stable and Profitable #USBanks - http://t.st/3tgU9",,,,0
2010-12-22 19:35:00,#Commodity Stocks of 2010 http://t.st/3tgO8,0.0,,0.0,0
2010-12-22 19:05:00,must-have #metal stocks for 2011 http://t.st/3tgAI,0.0,,0.0,0
2010-12-22 18:35:00,A #Biotech #ETF for Any Risk Level http://t.st/3tgKE,0.0,,0.0,0
2010-12-22 18:00:00,what to do with #Nike after its mixed quarter http://t.st/3tgo9,0.0,,0.0,0
2010-12-22 17:24:00,biggest theme for 2011 and which stocks to buy - http://t.st/3tgeB,0.0,,0.0,0
2010-12-22 16:46:00,we have some silly people here fighting the bank stock rally. Bunch of ninnies,0.0,,0.0,0
2010-12-22 16:30:00,#China RTO Regulation Shows Cracks http://t.st/3t8fM,0.0,,0.0,0
2010-12-22 16:00:00,Big-Cap #Biotech Preview http://t.st/3t8ip,0.0,,0.0,0
2010-12-22 15:30:00,#Bank Stocks for 2011http://t.st/3t8kO,0.0,,0.0,0
2010-12-22 15:00:00,my Dow 30 prediction - http://t.st/3t8J2,0.0,,0.0,0
2010-12-22 14:30:00,"#Icahn Right, but #Chesapeake Wrong http://t.st/3t8cl",0.0,,,0
2010-12-22 14:12:00,"Left out some other banks that are real good: $HBAN, $USB, $GS",0.0,,0.0,0
2010-12-22 14:06:00,"Bank stocks still on fire. I like $BAC, $C, $WFC, $PNC, $JPM",0.0,,0.0,0
2010-12-22 13:50:00,#Apple: When Will They Start Making TVs? http://t.st/3t73Y,0.0,,0.0,0
2010-12-22 00:32:00,Cramer's 'Mad Money' Recap: Copper Is Not a Bubble http://t.st/1ayBnj,0.0,,0.0,0
2010-12-22 00:21:00,"Some Actionalertsplus.com names here--$BAC is terrific now; no selling $INTC--that's wrong, $ARMH up too much to buy",0.0,,,0
2010-12-21 22:31:00,Have to hear conference call but $NKE so good longer term...,0.0,,0.0,0
2010-12-21 21:45:00,Macworld's 2010 App Gems Awards http://t.st/3sINm,0.0,,0.0,0
2010-12-21 20:50:00,#SEC Said to Probe #China Stocks http://t.st/3sGJs,0.0,,,0
2010-12-21 20:20:00,#ETFs Tap Into #Energy Industry http://t.st/3sGBN #Energyindustry,0.0,,0.0,0
2010-12-21 19:50:00,Stocks to Play #Defense http://t.st/3sGGH,0.0,,0.0,0
2010-12-21 19:20:00,Jabil's Cheap http://t.st/3sGwf,0.0,,0.0,0
2010-12-21 18:50:00,Stocks Hold Highs on Earnings - http://t.st/3sGEq,,,0.0,0
2010-12-21 18:20:00,best #copper trades http://t.st/3sGt1,0.0,,0.0,0
2010-12-21 17:48:00,#Paychex is seeing the beginnings of job growth - http://t.st/3sGrn,0.0,,0.0,0
2010-12-21 16:10:00,stocks that could double - http://t.st/3swFN,0.0,,0.0,0
2010-12-21 15:10:00,misunderstood bank stocks - http://t.st/3swCM,0.0,,0.0,0
2010-12-21 14:55:00,SEC Probes China Stock Fraud Network - http://t.st/3sxM9 #china #SEC,0.0,,0.0,0
2010-12-21 14:10:00,#WellsFargo Cuts Another #Mortgage Deal http://t.st/3swAd,0.0,,0.0,0
