time,content,comments,retweets,quotes,hearts
2020-12-27 15:52:00,"Only a few spots left in the Triple C: Cramer's Cash Contest. Get in on the action on @DraftKings for Week 16 for just $5 and come play against me.

draftkings.com/draft/contest… #AD",0.0,0.0,0,0
2020-12-25 21:37:00,Merry Christmas to all!!,0.0,0.0,0,0
2020-12-24 17:43:00,people are a little insane right now. i am going back to being with my family.. beats being insulted by children hiding behind fake names whom i am actually trying to help FOR FREE,0.0,0.0,0,0
2020-12-24 17:42:00,"I am not backtracking.. i am trying to figure out what is really happening and it isn't easy when you are on vacation.. Sometimes you just have to own that you are on a family vacation and aren't able to assess.  DO YOU WANT ME TO BLESS IT WITH LITTLE WORK BEING DONE? Fine, Buy?",0.0,0.0,0,0
2020-12-24 17:40:00,If you like BABA I think you have to do it with deep in the money calls right here.. .i would like another day to assess...,0.0,0.0,0,0
2020-12-24 17:28:00,Not sure about this. with the PRC it can be existential...,0.0,0.0,0,0
2020-12-24 17:27:00,It is which is what makes this foray so dangerous to all of the Chinese companies and their stocks... oh and to those who gratuitously attack me for not knowing this would happen all i can say it YOU'VE BEEN BLOCKED!,0.0,0.0,0,0
2020-12-24 17:25:00,"not a wrong-headed view.. they will do what is necessary to protect the regime even if it means upending ""capitalism""",0.0,0.0,0,0
2020-12-24 17:25:00,"I have said over and over again that i don't like Chinese companies. I don't even think most should be able to list here. Ever since Ma was upbraided by the PRC, I like many, have worried this could happen. But there is nothing sure about the regime as it wants our capital",0.0,0.0,0,0
2020-12-24 17:21:00,"Jimmy Chill wonders about how obtuse someone with similar initials can be. Even the Navarros of the world think i am too hard line against the regime. But then again, that requires you to have watched or read anything i gave written since 1981",0.0,0.0,0,0
2020-12-24 17:19:00,most grateful.. only way to be!,0.0,,0,0
les entities and empowers people to take on the regime...,0.0,,0,0
2020-12-24 16:43:00,The way to live your life,0.0,,0,0
2020-12-24 16:38:00,If the PRC attacks $BABA they can attack any company. This is the return of the old-style dictatorship .. unexpected and dangerous,0.0,0.0,0,0
2020-12-24 16:35:00,My friends at another wall street site say they are against market manipulation but they run and gun stocks in ways that i do not like and will take on if i have to.,0.0,0.0,0,0
2020-12-24 16:31:00,"I like this kind of gamer approach.. Audibles, adjustments.. all good..",0.0,0.0,0,0
2020-12-23 20:54:00,fins and oils playing catch-up again. CVX and PXD as well as the brokerages still work,0.0,,0,0
2020-12-23 19:24:00,Both parts are a must read!,0.0,0.0,0,0
2020-12-23 19:00:00,with more than 1 million people getting the vaccine you are going to start thinking about what happens when one day we come in and the case load is down.. that will be a bad day to be short,0.0,0.0,0,0
2020-12-23 16:27:00,"Jimmy Chill says if capturing a ten bagger on tesla is foolish, call me Mr. Foolish.",0.0,0.0,0,0
2020-12-23 16:25:00,You should read my piece on realmoney.com where i struggle with your view...,0.0,,0,0
2020-12-23 16:13:00,we had a crazy good call on @MadMoneyOnCNBC,0.0,0.0,0,0
2020-12-23 16:12:00,the highlight film of tech and what can continue,0.0,,0,0
2020-12-23 16:12:00,Coming up with a piece on the capital intensive ev stocks and the need to sell equity right here.,0.0,0.0,0,0
2020-12-22 22:37:00,too far from now,0.0,,0,0
2020-12-22 22:36:00,doing my best for you!,0.0,,0,0
2020-12-22 22:36:00,on it,0.0,,0,0
2020-12-22 22:23:00,You like EV--you better watch tonight.. Same with hydrogen,0.0,0.0,0,0
2020-12-22 21:55:00,"The NBA season tips-off tonight w/ 2 great games, 4 exciting teams, and plenty of superstars. 

Opt-In on @DraftKings for the Big Trey Payday and get a FREE ticket to a $100k contest if anyone hits a 3-pointer in the final minute of the 4th Quarter
draftkings.com/lp/big-trey-p… #AD",0.0,0.0,0,0
2020-12-22 21:01:00,"Dear Hiram, i am sorry the greatest performing stock of all time is too slow for you. I will let them know of your disappointment...",0.0,0.0,0,0
2020-12-22 20:57:00,can't believe the endless buying in the cyber security stocks.. they are buoyed by the stupid etfs that take up the good with the bad.,0.0,0.0,0,0
2020-12-22 18:34:00,I want a jersey!,0.0,0.0,0,0
2020-12-22 18:20:00,But their factory in Italy is to die for,0.0,,0,0
2020-12-22 15:36:00,thank you.. it's been a great run from when we had them on!,0.0,,0,0
2020-12-22 15:10:00,Jimmy Chill says THAN YOU FOR WATCHING,0.0,0.0,0,0
2020-12-22 14:45:00,it makes sense that Apple might want to build a car if it thinks that it can best  everyone and please customers but otherwise don't buy the stock on this. Buy on what we know.. Own it don't trade it,0.0,0.0,0,0
2020-12-22 14:43:00,"Jimmy Chill says, huh?",0.0,,0,0
2020-12-22 14:43:00,made it clear thanks to all-I READ YOU!,0.0,,0,0
2020-12-22 14:42:00,Apple giving three? Six team parlay FAANGM money line,0.0,0.0,0,0
2020-12-22 14:41:00,you betcha,0.0,,0,0
2020-12-22 11:53:00,"Chillman says to Captain Common Cents, who gave you your commission, Captain Kangaroo? No one has been more anti-Communist than i have even on Fox!! I am sending you a pallet of Q-tips, and maybe an icepick...",0.0,0.0,0,0
2020-12-22 08:59:00,a lot of the anger comes from some people who are misdirected and don't even know i am on their side!,0.0,,0,0
2020-12-22 08:58:00,Thanks Boss... I worked on a mask project for five months. Now i am on testing and i am hard to shake once i get going.. Dawg with bone on this stuff. Testing... at home testing.. that's my next mission now that we conquered wearable masks,0.0,0.0,0,0
2020-12-22 01:28:00,Jimmy Chill says that's a super genius approach but why don't you read the medical and public health articles. Some of you would say that if you took a blow torch to your head that shows a mask doesn't help at all,0.0,,0,0
2020-12-22 00:20:00,"there were many reasons why he got it wrong. But let's move on.. who cares. Let's save lives now, going forward!!",0.0,0.0,0,0
2020-12-22 00:01:00,best in show!,0.0,,0,0
2020-12-22 00:00:00,gamer!,0.0,,0,0
2020-12-22 00:00:00,Chill says Thanks!,0.0,,0,0
2020-12-21 23:55:00,thank you so much!! it's not easy out there,0.0,0.0,0,0
2020-12-21 23:54:00,"Did Dr. Fauci hurt more than help? Only if you use his mistake and didn't change your view when he did. If you are using his mistake to justify not wearing a mask then buck up, chief, you gettin covid.",0.0,0.0,0,0
2020-12-21 23:53:00,"Look, the guy was totally wrong. He has admitted so endlessly. It was a novel virus. He has course corrected and knows the score. when will people realize he was doing his best with very little data and when he has more he changed his view",0.0,0.0,0,0
2020-12-21 22:57:00,Aerosol droplets--why you need masks!,0.0,0.0,0,0
2020-12-21 22:54:00,the most important tweet you will read from the most informed professor currently investigating Covid 19,0.0,0.0,0,0
2020-12-21 22:31:00,"More blasphemy: what's the deal with people saying i hate Palantir?.. 
i am fine with it",0.0,0.0,0,0
2020-12-21 22:21:00,Microsoft's Reported Plans to Design Its Own CPUs: 5 Thoughts from @EricJhonsa,0.0,0.0,0,0
2020-12-21 22:12:00,"People who trash me, i think it's something you should rethink, this from a guy who threw snowballs at Santa cause he had it coming",0.0,0.0,0,0
2020-12-21 21:52:00,most gracious,0.0,0.0,0,0
2020-12-21 21:46:00,Memo to the Chill's detractors. Unless you are actually willing to debate i will make fun of you in a way that will be embarrassing.. Sorry.. I am from Philly.. Wrong guy to joust with,0.0,0.0,0,0
2020-12-21 21:20:00,Jimmy Chill has had to block a lot of clowns and chowderheads talking about how i kept people out of Tesla. I am not gong to say once again how long i have liked it. Just go back to November of last year,0.0,0.0,0,0
2020-12-21 20:24:00,"The Fed, Banks, and How @Sarge986 is Trading $JPM",0.0,,0,0
2020-12-21 13:47:00,Treasury Secretary on package--questions about stimulus ??,0.0,0.0,0,0
2020-12-21 11:39:00,Just trying to learn about the new strain in an attempt to be responsible and not hyserical...,0.0,0.0,0,0
2020-12-21 10:37:00,"Jimmy Chill says thanks and wants more info on the ""more transmissible"" strain.. like how does it travel? Surface? Voice? Air? you would think they would give us some insight. Or is it just statistical--many more cases than normal?",0.0,0.0,0,0
2020-12-21 01:59:00,take the other side of the S&P futures tonight!!,0.0,0.0,0,0
2020-12-20 16:31:00,"Week 15 Q&A Live Stream: Fantasy Football, DFS, NFL Bets pscp.tv/w/cq4iRzFlV0t5V1JkWF…",0.0,0.0,0,0
2020-12-20 04:29:00,hawks are bullish,0.0,0.0,0,0
2020-12-20 02:06:00,"Last week I finished 6th out of 1,000, who is trying to beat me this week?

 Get in the Triple C: Cramer's Cash Contest for Week 15 on @DraftKings
dkng.co/CCC #ad",0.0,,0,0
2020-12-20 01:27:00,Mr. Granted Access you have an extraordinary eye for the obvious..,0.0,,0,0
2020-12-20 01:26:00,Wish Panthers had made the plane to Green Bay...,0.0,,0,0
2020-12-20 01:14:00,cramerscashcontest on draft kings contests   you all should listen to @BullMktFantasy tomorrow at 11:30 am-- really great show. and we will answer your questions!,0.0,,0,0
