Company,Symbol,Date,Segment,Call,Price
AbbVie (ABBV),ABBV,2019-01-03,D,2,$86.29
Barrick Gold (ABX),ABX,2019-01-03,D,1,$13.00
Align Technology (ALGN),ALGN,2019-01-03,D,4,$184.78
AMN Healthcare Services (AMN),AMN,2019-01-03,I,1,$54.41
Activision Blizzard (ATVI),ATVI,2019-01-03,D,1,$45.36
Church & Dwight (CHD),CHD,2019-01-03,D,1,$64.29
Clorox (CLX),CLX,2019-01-03,D,1,$152.03
Chicago Mercantile Exchan (CME),CME,2019-01-03,D,1,$181.50
Coty (COTY),COTY,2019-01-03,D,4,$6.79
Dollar Tree (DLTR),DLTR,2019-01-03,D,1,$90.76
Barrick Gold (GOLD),GOLD,2019-01-03,D,1,$13.00
Coca-Cola (KO),KO,2019-01-03,D,1,$46.64
Marathon Oil (MRO),MRO,2019-01-03,D,1,$14.62
Newmont Goldcorp (NEM),NEM,2019-01-03,D,4,$34.38
Newfield Exploration (NFX),NFX,2019-01-03,D,2,$15.28
Nektar Therapeutics (NKTR),NKTR,2019-01-03,D,4,$31.58
NVIDIA (NVDA),NVDA,2019-01-03,D,2,$127.99
Realty Income (O),O,2019-01-03,D,1,$62.48
PG&E (PCG),PCG,2019-01-03,D,1,$23.95
Pepsico (PEP),PEP,2019-01-03,D,1,$108.26
Perrigo (PRGO),PRGO,2019-01-03,D,4,$39.87
Starbucks (SBUX),SBUX,2019-01-03,D,1,$61.53
Schlumberger (SLB),SLB,2019-01-03,D,1,$37.60
Tiffany & Co (TIF),TIF,2019-01-03,D,4,$79.59
Take-Two Interactive (TTWO),TTWO,2019-01-03,D,1,$99.15
United Rentals (URI),URI,2019-01-03,D,4,$101.98
Apple (AAPL),AAPL,2019-01-04,D,2,$148.26
Bed Bath & Beyond (BBBY),BBBY,2019-01-04,D,4,$11.95
CVS Health (CVS),CVS,2019-01-04,F,1,$66.82
Delta Air Lines (DAL),DAL,2019-01-04,D,1,$47.79
IBM (IBM),IBM,2019-01-04,D,4,$117.32
KB Home (KBH),KBH,2019-01-04,D,2,$20.66
Coca-Cola (KO),KO,2019-01-04,D,1,$47.57
Lennar (LEN),LEN,2019-01-04,D,2,$41.21
Merck (MRK),MRK,2019-01-04,D,2,$76.27
Procter & Gamble (PG),PG,2019-01-04,D,2,$92.49
Constellation Brands (STZ),STZ,2019-01-04,D,2,$166.62
United Technologies (UTX),UTX,2019-01-04,D,1,$107.02
Verizon (VZ),VZ,2019-01-04,D,2,$56.36
Exxon Mobil (XOM),XOM,2019-01-04,D,1,$71.15
Advanced Micro Devices (AMD),AMD,2019-01-07,D,1,$20.57
Amgen (AMGN),AMGN,2019-01-07,I,1,$198.07
Broadcom (AVGO),AVGO,2019-01-07,D,1,$237.98
Bausch Health (BHC),BHC,2019-01-07,I,1,$22.36
Intel (INTC),INTC,2019-01-07,D,1,$47.44
Micron Technology (MU),MU,2019-01-07,D,1,$34.00
Novartis AG (NVS),NVS,2019-01-07,I,1,$84.88
Texas Instruments (TXN),TXN,2019-01-07,D,1,$94.50
Apple (AAPL),AAPL,2019-01-08,I,1,$150.75
Allergan (AGN),AGN,2019-01-08,I,1,$145.60
Meta (FB),FB,2019-01-08,D,1,$142.53
Netflix (NFLX),NFLX,2019-01-08,D,4,$320.27
Broadcom (AVGO),AVGO,2019-01-09,D,1,$246.28
Canopy Growth (CGC),CGC,2019-01-09,I,1,$33.60
Dexcom (DXCM),DXCM,2019-01-09,I,1,$138.75
Lennar (LEN),LEN,2019-01-09,D,1,$46.29
Lam Research (LRCX),LRCX,2019-01-09,D,1,$144.00
Micron Technology (MU),MU,2019-01-09,D,1,$35.44
NVIDIA (NVDA),NVDA,2019-01-09,D,1,$142.58
Constellation Brands (STZ),STZ,2019-01-09,I,1,$150.94
Skyworks Solutions (SWKS),SWKS,2019-01-09,D,1,$67.69
American Airlines (AAL),AAL,2019-01-10,D,4,$32.04
Apple (AAPL),AAPL,2019-01-10,D,1,$153.80
Costco (COST),COST,2019-01-10,D,1,$210.64
Salesforce (CRM),CRM,2019-01-10,I,1,$147.04
Dollar Tree (DLTR),DLTR,2019-01-10,D,1,$96.41
Intel (INTC),INTC,2019-01-10,I,1,$48.56
KB Home (KBH),KBH,2019-01-10,D,4,$21.00
Kohl's (KSS),KSS,2019-01-10,D,1,$66.54
Lennar (LEN),LEN,2019-01-10,D,4,$45.17
Macy's (M),M,2019-01-10,D,1,$26.11
Microsoft (MSFT),MSFT,2019-01-10,D,1,$103.60
Target (TGT),TGT,2019-01-10,D,1,$68.29
Apple (AAPL),AAPL,2019-01-11,D,1,$152.29
Allergan (AGN),AGN,2019-01-11,D,1,$149.26
American Express (AXP),AXP,2019-01-11,D,2,$98.55
Boeing (BA),BA,2019-01-11,D,2,$352.90
Bank of America (BAC),BAC,2019-01-11,D,1,$26.03
Salesforce (CRM),CRM,2019-01-11,D,1,$147.55
CSX (CSX),CSX,2019-01-11,D,1,$65.22
Deere & Company (DE),DE,2019-01-11,D,2,$158.28
Dexcom (DXCM),DXCM,2019-01-11,D,1,$141.10
SPDR Gold Shares (GLD),GLD,2019-01-11,F,1,$121.80
Barrick Gold (GOLD),GOLD,2019-01-11,F,1,$12.44
Goldman Sachs (GS),GS,2019-01-11,D,2,$176.93
Intel (INTC),INTC,2019-01-11,D,1,$48.93
JPMorgan Chase (JPM),JPM,2019-01-11,D,2,$99.91
Lululemon Athletica (LULU),LULU,2019-01-11,D,2,$132.16
Morgan Stanley (MS),MS,2019-01-11,D,1,$41.74
Netflix (NFLX),NFLX,2019-01-11,D,4,$337.59
Nike (NKE),NKE,2019-01-11,D,2,$76.04
Novartis AG (NVS),NVS,2019-01-11,D,1,$87.77
PVH Corp (PVH),PVH,2019-01-11,D,1,$105.77
Starbucks (SBUX),SBUX,2019-01-11,D,4,$63.73
Schlumberger (SLB),SLB,2019-01-11,D,4,$41.74
United Continental (UAL),UAL,2019-01-11,D,1,$80.07
UnitedHealth Group (UNH),UNH,2019-01-11,D,2,$247.67
VF Corp (VFC),VFC,2019-01-11,D,4,$71.46
Wells Fargo (WFC),WFC,2019-01-11,D,2,$47.87
Apple (AAPL),AAPL,2019-01-14,D,4,$150.00
Citigroup (C),C,2019-01-14,D,2,$58.93
Dollar Tree (DLTR),DLTR,2019-01-14,F,1,$97.23
Exelixis (EXEL),EXEL,2019-01-14,M,1,$22.86
Huntington Bancshares (HBAN),HBAN,2019-01-14,D,1,$12.83
KeyCorp (KEY),KEY,2019-01-14,D,1,$16.24
Kohl's (KSS),KSS,2019-01-14,D,2,$66.64
L Brands (LB),LB,2019-01-14,D,4,$26.44
Macy's (M),M,2019-01-14,D,4,$25.08
Maxar Technologies (MAXR),MAXR,2019-01-14,M,5,$6.25
PG&E (PCG),PCG,2019-01-14,D,4,$8.38
PVH Corp (PVH),PVH,2019-01-14,F,1,$104.48
Target (TGT),TGT,2019-01-14,D,2,$68.84
Apple (AAPL),AAPL,2019-01-15,D,1,$153.07
JPMorgan Chase (JPM),JPM,2019-01-15,D,1,$101.68
Kohl's (KSS),KSS,2019-01-15,D,2,$67.26
