Company,Symbol,Date,Segment,Call,Price
Apple (AAPL),AAPL,2020-01-03,D,1,$297.43
Advanced Micro Devices (AMD),AMD,2020-01-03,D,1,$48.60
American Express (AXP),AXP,2020-01-03,D,1,$124.60
Boeing (BA),BA,2020-01-03,D,4,$332.76
Bed Bath & Beyond (BBBY),BBBY,2020-01-03,D,2,$16.08
BP (BP),BP,2020-01-03,D,1,$38.83
Canopy Growth (CGC),CGC,2020-01-03,D,4,$19.90
Chipotle Mexican Grill (CMG),CMG,2020-01-03,D,1,$865.13
Costco (COST),COST,2020-01-03,D,1,$291.73
CrowdStrike (CRWD),CRWD,2020-01-03,I,1,$50.75
CVS Health (CVS),CVS,2020-01-03,D,1,$73.57
Walt Disney (DIS),DIS,2020-01-03,D,1,$146.50
Goldman Sachs (GS),GS,2020-01-03,D,1,$231.58
Home Depot (HD),HD,2020-01-03,D,1,$218.93
JPMorgan Chase (JPM),JPM,2020-01-03,D,1,$138.34
KB Home (KBH),KBH,2020-01-03,D,1,$34.91
KLA Corp (KLAC),KLAC,2020-01-03,D,1,$179.08
Lennar (LEN),LEN,2020-01-03,D,1,$56.47
Lam Research (LRCX),LRCX,2020-01-03,D,1,$294.69
Microsoft (MSFT),MSFT,2020-01-03,D,1,$158.62
Nike (NKE),NKE,2020-01-03,D,1,$101.92
Procter & Gamble (PG),PG,2020-01-03,D,1,$122.58
Schlumberger (SLB),SLB,2020-01-03,D,1,$40.56
Constellation Brands (STZ),STZ,2020-01-03,D,4,$189.53
Target (TGT),TGT,2020-01-03,D,1,$124.76
Visa (V),V,2020-01-03,D,1,$189.60
Walgreens Boots Alliance (WBA),WBA,2020-01-03,D,5,$59.08
Walmart (WMT),WMT,2020-01-03,D,1,$117.89
Axon Enterprise (AAXN),AAXN,2020-01-06,I,1,$68.75
American Electric Power (AEP),AEP,2020-01-06,D,1,$93.67
CrowdStrike (CRWD),CRWD,2020-01-06,D,1,$55.11
Dominion Energy (D),D,2020-01-06,D,1,$82.39
Consolidated Edison (ED),ED,2020-01-06,D,1,$88.34
SPDR Gold Shares (GLD),GLD,2020-01-06,D,1,$147.39
Barrick Gold (GOLD),GOLD,2020-01-06,D,1,$18.39
Nordstrom (JWN),JWN,2020-01-06,D,1,$40.98
Kohl's (KSS),KSS,2020-01-06,D,1,$50.06
L3Harris Technologies (LHX),LHX,2020-01-06,D,1,$211.72
Planet Fitness (PLNT),PLNT,2020-01-06,I,1,$75.04
Pioneer Natural Resources (PXD),PXD,2020-01-06,D,1,$158.11
Schlumberger (SLB),SLB,2020-01-06,D,1,$40.82
Advanced Micro Devices (AMD),AMD,2020-01-07,D,2,$48.25
Columbia Sportswear (COLM),COLM,2020-01-07,F,1,$100.33
Microchip Technology (MCHP),MCHP,2020-01-07,D,2,$110.69
Nike (NKE),NKE,2020-01-07,F,1,$101.78
Tesla (TSLA),TSLA,2020-01-07,F,1,$469.06
Under Armour (UAA),UAA,2020-01-07,F,4,$20.70
Apple (AAPL),AAPL,2020-01-08,D,1,$303.19
Automatic Data Processing (ADP),ADP,2020-01-08,D,1,$169.71
American Express (AXP),AXP,2020-01-08,D,1,$125.54
Chewy (CHWY),CHWY,2020-01-08,D,1,$28.62
Core Labs (CLB),CLB,2020-01-08,F,4,$40.20
Covetrus (CVET),CVET,2020-01-08,D,4,$13.60
Elanco Animal Health (ELAN),ELAN,2020-01-08,D,1,$28.56
Lennar (LEN),LEN,2020-01-08,D,1,$57.59
Macy's (M),M,2020-01-08,D,2,$18.10
Pet IQ (PETQ),PETQ,2020-01-08,D,4,$24.35
Sea Limited (SE),SE,2020-01-08,M,5,$40.16
Constellation Brands (STZ),STZ,2020-01-08,I,1,$190.29
Tesla (TSLA),TSLA,2020-01-08,D,1,$492.14
Apple (AAPL),AAPL,2020-01-09,D,1,$309.63
Bed Bath & Beyond (BBBY),BBBY,2020-01-09,F,1,$13.45
Lennar (LEN),LEN,2020-01-09,D,1,$57.69
Toll Brothers (TOL),TOL,2020-01-09,D,1,$41.06
Tyson Foods (TSN),TSN,2020-01-09,F,1,$89.21
Bank of America (BAC),BAC,2020-01-10,D,2,$34.74
CSX (CSX),CSX,2020-01-10,D,1,$73.36
Goldman Sachs (GS),GS,2020-01-10,D,2,$242.11
JPMorgan Chase (JPM),JPM,2020-01-10,D,2,$136.07
Morgan Stanley (MS),MS,2020-01-10,D,2,$52.21
Parsley Energy (PE),PE,2020-01-10,I,1,$18.13
PPG Industries (PPG),PPG,2020-01-10,D,1,$128.09
Schlumberger (SLB),SLB,2020-01-10,D,4,$39.83
UnitedHealth Group (UNH),UNH,2020-01-10,D,1,$295.13
Wells Fargo (WFC),WFC,2020-01-10,D,2,$52.50
Apple (AAPL),AAPL,2020-01-13,D,1,$316.96
Adobe Systems (ADBE),ADBE,2020-01-13,D,1,$345.63
Beyond Meat (BYND),BYND,2020-01-13,D,1,$114.34
Salesforce (CRM),CRM,2020-01-13,D,1,$183.85
CVS Health (CVS),CVS,2020-01-13,I,1,$72.76
GlaxoSmithKline (GSK),GSK,2020-01-13,I,1,$46.95
Lululemon Athletica (LULU),LULU,2020-01-13,D,1,$245.18
NVIDIA (NVDA),NVDA,2020-01-13,D,1,$251.98
Skyworks Solutions (SWKS),SWKS,2020-01-13,D,1,$124.51
Tesla (TSLA),TSLA,2020-01-13,D,1,$524.86
Zoetis (ZTS),ZTS,2020-01-13,I,1,$136.51
Dexcom (DXCM),DXCM,2020-01-14,I,1,$235.06
Medtronic (MDT),MDT,2020-01-14,I,1,$117.04
Bank of America (BAC),BAC,2020-01-15,D,1,$34.67
Beyond Meat (BYND),BYND,2020-01-15,D,4,$107.08
CVS Health (CVS),CVS,2020-01-15,D,1,$75.27
Emerson Electric (EMR),EMR,2020-01-15,D,1,$76.66
FedEx (FDX),FDX,2020-01-15,D,2,$159.15
Honeywell (HON),HON,2020-01-15,D,1,$180.73
Moderna (MRNA),MRNA,2020-01-15,I,1,$20.24
Stitch Fix (SFIX),SFIX,2020-01-15,I,1,$24.65
Tellurian (TELL),TELL,2020-01-15,D,1,$7.66
Tesla (TSLA),TSLA,2020-01-15,D,4,$518.50
UnitedHealth Group (UNH),UNH,2020-01-15,D,1,$296.41
United Technologies (UTX),UTX,2020-01-15,D,1,$151.96
Wells Fargo (WFC),WFC,2020-01-15,D,4,$48.32
XPO Logistics (XPO),XPO,2020-01-15,I,1,$82.82
Advanced Micro Devices (AMD),AMD,2020-01-16,D,2,$49.77
BlackRock (BLK),BLK,2020-01-16,D,1,$535.00
GW Pharmaceuticals (GWPH),GWPH,2020-01-16,I,1,$119.12
Morgan Stanley (MS),MS,2020-01-16,D,1,$56.44
Microsoft (MSFT),MSFT,2020-01-16,I,1,$166.17
Tesla (TSLA),TSLA,2020-01-16,D,2,$513.49
