Company,Symbol,Date,Segment,Call,Price
AbbVie (ABBV),ABBV,2019-01-03,D,2,$86.29
Barrick Gold (ABX),ABX,2019-01-03,D,1,$13.00
Align Technology (ALGN),ALGN,2019-01-03,D,4,$184.78
AMN Healthcare Services (AMN),AMN,2019-01-03,I,1,$54.41
Activision Blizzard (ATVI),ATVI,2019-01-03,D,1,$45.36
Canopy Growth (CGC),CGC,2019-01-03,L,2,$28.11
Church & Dwight (CHD),CHD,2019-01-03,D,1,$64.29
Clorox (CLX),CLX,2019-01-03,D,1,$152.03
Chicago Mercantile Exchan (CME),CME,2019-01-03,D,1,$181.50
Cabot Oil & Gas (COG),COG,2019-01-03,L,5,$23.38
Coty (COTY),COTY,2019-01-03,D,4,$6.79
Dollar Tree (DLTR),DLTR,2019-01-03,D,1,$90.76
Barrick Gold (GOLD),GOLD,2019-01-03,D,1,$13.00
Coca-Cola (KO),KO,2019-01-03,D,1,$46.64
Marathon Oil (MRO),MRO,2019-01-03,D,1,$14.62
Newmont Goldcorp (NEM),NEM,2019-01-03,D,4,$34.38
Newfield Exploration (NFX),NFX,2019-01-03,D,2,$15.28
Nektar Therapeutics (NKTR),NKTR,2019-01-03,D,4,$31.58
NVIDIA (NVDA),NVDA,2019-01-03,D,2,$127.99
Realty Income (O),O,2019-01-03,D,1,$62.48
PG&E (PCG),PCG,2019-01-03,D,1,$23.95
Pepsico (PEP),PEP,2019-01-03,D,1,$108.26
Perrigo (PRGO),PRGO,2019-01-03,D,4,$39.87
Starbucks (SBUX),SBUX,2019-01-03,D,1,$61.53
Schlumberger (SLB),SLB,2019-01-03,D,1,$37.60
AT&T (T),T,2019-01-03,L,1,$29.58
Tiffany & Co (TIF),TIF,2019-01-03,D,4,$79.59
Take-Two Interactive (TTWO),TTWO,2019-01-03,D,1,$99.15
UnitedHealth Group (UNH),UNH,2019-01-03,L,1,$236.85
United Rentals (URI),URI,2019-01-03,D,4,$101.98
Apple (AAPL),AAPL,2019-01-04,D,2,$148.26
AbbVie (ABBV),ABBV,2019-01-04,L,2,$89.07
Bed Bath & Beyond (BBBY),BBBY,2019-01-04,D,4,$11.95
Ciena (CIEN),CIEN,2019-01-04,L,1,$34.56
CVS Health (CVS),CVS,2019-01-04,F,1,$66.82
Delta Air Lines (DAL),DAL,2019-01-04,D,1,$47.79
LM Ericsson (ERIC),ERIC,2019-01-04,L,5,$8.69
IBM (IBM),IBM,2019-01-04,D,4,$117.32
KB Home (KBH),KBH,2019-01-04,D,2,$20.66
Coca-Cola (KO),KO,2019-01-04,D,1,$47.57
Lennar (LEN),LEN,2019-01-04,D,2,$41.21
Momo (MOMO),MOMO,2019-01-04,L,5,$25.41
Merck (MRK),MRK,2019-01-04,D,2,$76.27
Procter & Gamble (PG),PG,2019-01-04,D,2,$92.49
Qualcomm (QCOM),QCOM,2019-01-04,L,5,$56.60
Constellation Brands (STZ),STZ,2019-01-04,D,2,$166.62
United Technologies (UTX),UTX,2019-01-04,D,1,$107.02
Verizon (VZ),VZ,2019-01-04,D,2,$56.36
Exxon Mobil (XOM),XOM,2019-01-04,D,1,$71.15
Advanced Micro Devices (AMD),AMD,2019-01-07,D,1,$20.57
Amgen (AMGN),AMGN,2019-01-07,I,1,$198.07
Broadcom (AVGO),AVGO,2019-01-07,D,1,$237.98
Bausch Health (BHC),BHC,2019-01-07,I,1,$22.36
Centene (CNC),CNC,2019-01-07,L,1,$114.50
HMS Holdings (HMSY),HMSY,2019-01-07,L,5,$29.37
Intel (INTC),INTC,2019-01-07,D,1,$47.44
Kraft Heinz (KHC),KHC,2019-01-07,L,5,$45.33
Medtronic (MDT),MDT,2019-01-07,L,1,$82.45
Micron Technology (MU),MU,2019-01-07,D,1,$34.00
Novartis AG (NVS),NVS,2019-01-07,I,1,$84.88
Transocean (RIG),RIG,2019-01-07,L,3,$8.28
Stamps.com (STMP),STMP,2019-01-07,L,4,$161.57
Texas Instruments (TXN),TXN,2019-01-07,D,1,$94.50
Apple (AAPL),AAPL,2019-01-08,I,1,$150.75
Allergan (AGN),AGN,2019-01-08,I,1,$145.60
Bank of America (BAC),BAC,2019-01-08,L,1,$25.51
Canopy Growth (CGC),CGC,2019-01-08,L,1,$29.64
Meta (FB),FB,2019-01-08,D,1,$142.53
Southwest Airlines (LUV),LUV,2019-01-08,L,1,$47.54
Netflix (NFLX),NFLX,2019-01-08,D,4,$320.27
Tilray (TLRY),TLRY,2019-01-08,L,5,$83.26
Under Armour (UAA),UAA,2019-01-08,L,1,$18.87
Broadcom (AVGO),AVGO,2019-01-09,D,1,$246.28
AutoZone (AZO),AZO,2019-01-09,L,1,$820.36
BP (BP),BP,2019-01-09,L,1,$40.36
Boyd Gaming (BYD),BYD,2019-01-09,L,1,$25.61
CBS Corp (CBS),CBS,2019-01-09,L,2,$47.80
Canopy Growth (CGC),CGC,2019-01-09,I,1,$33.60
Churchill Downs (CHDN),CHDN,2019-01-09,L,1,$255.10
Centene (CNC),CNC,2019-01-09,L,1,$118.23
Chevron (CVX),CVX,2019-01-09,L,2,$113.27
Dexcom (DXCM),DXCM,2019-01-09,I,1,$138.75
Turtle Beach (HEAR),HEAR,2019-01-09,L,1,$16.36
Lennar (LEN),LEN,2019-01-09,D,1,$46.29
Logitech International (LOGI),LOGI,2019-01-09,L,1,$33.24
Lam Research (LRCX),LRCX,2019-01-09,D,1,$144.00
Micron Technology (MU),MU,2019-01-09,D,1,$35.44
NVIDIA (NVDA),NVDA,2019-01-09,D,1,$142.58
Constellation Brands (STZ),STZ,2019-01-09,I,1,$150.94
Skyworks Solutions (SWKS),SWKS,2019-01-09,D,1,$67.69
Viacom (VIAB),VIAB,2019-01-09,L,1,$29.00
American Airlines (AAL),AAL,2019-01-10,D,4,$32.04
Apple (AAPL),AAPL,2019-01-10,D,1,$153.80
American Electric Power (AEP),AEP,2019-01-10,L,1,$74.72
Cleveland-Cliffs (CLF),CLF,2019-01-10,L,4,$8.76
Costco (COST),COST,2019-01-10,D,1,$210.64
Salesforce (CRM),CRM,2019-01-10,I,1,$147.04
Dollar Tree (DLTR),DLTR,2019-01-10,D,1,$96.41
Dexcom (DXCM),DXCM,2019-01-10,L,1,$141.90
Intel (INTC),INTC,2019-01-10,I,1,$48.56
KB Home (KBH),KBH,2019-01-10,D,4,$21.00
Kohl's (KSS),KSS,2019-01-10,D,1,$66.54
Ladder Capital (LADR),LADR,2019-01-10,L,5,$16.62
Lennar (LEN),LEN,2019-01-10,D,4,$45.17
Macy's (M),M,2019-01-10,D,1,$26.11
Microsoft (MSFT),MSFT,2019-01-10,D,1,$103.60
Annaly Capital (NLY),NLY,2019-01-10,L,5,$9.77
Public Service Enterprise (PEG),PEG,2019-01-10,L,2,$52.00
Sina (SINA),SINA,2019-01-10,L,5,$59.96
Starwood Property Trust (STWD),STWD,2019-01-10,L,1,$20.51
Target (TGT),TGT,2019-01-10,D,1,$68.29
Tandem Diabetes Care (TNDM),TNDM,2019-01-10,L,4,$42.20
Take-Two Interactive (TTWO),TTWO,2019-01-10,L,1,$110.00
Apple (AAPL),AAPL,2019-01-11,D,1,$152.29
