Company,Symbol,Date,Segment,Call,Price
AbbVie (ABBV),ABBV,2021-01-04,D,1,$105.41
Advanced Micro Devices (AMD),AMD,2021-01-04,D,1,$92.30
Boeing (BA),BA,2021-01-04,D,1,$202.72
Caterpillar (CAT),CAT,2021-01-04,D,1,$182.15
CVS Health (CVS),CVS,2021-01-04,D,1,$69.99
Dollar Tree (DLTR),DLTR,2021-01-04,D,1,$106.94
Goldman Sachs (GS),GS,2021-01-04,D,1,$265.00
Home Depot (HD),HD,2021-01-04,D,1,$263.92
Lowe's (LOW),LOW,2021-01-04,D,1,$160.38
Mastercard (MA),MA,2021-01-04,D,1,$351.49
McKesson (MCK),MCK,2021-01-04,D,1,$174.43
Morgan Stanley (MS),MS,2021-01-04,D,1,$68.33
NVIDIA (NVDA),NVDA,2021-01-04,D,1,$524.54
Okta (OKTA),OKTA,2021-01-04,D,1,$250.67
Paychex (PAYX),PAYX,2021-01-04,I,1,$90.36
QuantumScape (QS),QS,2021-01-04,D,1,$49.96
Switchback Energy Acquisi (SBE),SBE,2021-01-04,D,2,$36.78
VMware (VMW),VMW,2021-01-04,I,1,$138.68
Zoom Video Communications (ZM),ZM,2021-01-04,D,1,$359.98
AbbVie (ABBV),ABBV,2021-01-05,D,1,$106.50
American Electric Power (AEP),AEP,2021-01-05,D,1,$81.43
B&G Foods (BGS),BGS,2021-01-05,D,1,$26.72
CRISPR Therapeutics (CRSP),CRSP,2021-01-05,D,4,$160.62
Chevron (CVX),CVX,2021-01-05,D,1,$87.00
Dominion Energy (D),D,2021-01-05,D,1,$73.00
DraftKings (DKNG),DKNG,2021-01-05,D,4,$47.58
DocuSign (DOCU),DOCU,2021-01-05,D,1,$228.50
Dow (DOW),DOW,2021-01-05,D,1,$55.80
Entergy (ETR),ETR,2021-01-05,D,1,$96.70
IBM (IBM),IBM,2021-01-05,D,1,$126.14
Johnson & Johnson (JNJ),JNJ,2021-01-05,D,2,$158.34
Kimberly-Clark (KMB),KMB,2021-01-05,D,4,$133.54
Kinder Morgan (KMI),KMI,2021-01-05,D,1,$13.90
Coca-Cola (KO),KO,2021-01-05,D,4,$52.18
Moderna (MRNA),MRNA,2021-01-05,D,5,$109.18
Penn National Gaming (PENN),PENN,2021-01-05,D,4,$86.98
