Company,Symbol,Date,Segment,Call,Price
Apple (AAPL),AAPL,2020-01-03,D,1,$297.43
AGNC Investment (AGNC),AGNC,2020-01-03,L,4,$17.73
Advanced Micro Devices (AMD),AMD,2020-01-03,D,1,$48.60
American Express (AXP),AXP,2020-01-03,D,1,$124.60
Boeing (BA),BA,2020-01-03,D,4,$332.76
Alibaba (BABA),BABA,2020-01-03,L,1,$217.00
Bed Bath & Beyond (BBBY),BBBY,2020-01-03,D,2,$16.08
BP (BP),BP,2020-01-03,D,1,$38.83
Canopy Growth (CGC),CGC,2020-01-03,D,4,$19.90
Chipotle Mexican Grill (CMG),CMG,2020-01-03,D,1,$865.13
Costco (COST),COST,2020-01-03,D,1,$291.73
CrowdStrike (CRWD),CRWD,2020-01-03,I,1,$50.75
CVS Health (CVS),CVS,2020-01-03,D,1,$73.57
Walt Disney (DIS),DIS,2020-01-03,D,1,$146.50
Goldman Sachs (GS),GS,2020-01-03,D,1,$231.58
Home Depot (HD),HD,2020-01-03,D,1,$218.93
JPMorgan Chase (JPM),JPM,2020-01-03,D,1,$138.34
KB Home (KBH),KBH,2020-01-03,D,1,$34.91
KLA Corp (KLAC),KLAC,2020-01-03,D,1,$179.08
Lennar (LEN),LEN,2020-01-03,D,1,$56.47
Luckin Coffee (LK),LK,2020-01-03,L,4,$36.72
Lam Research (LRCX),LRCX,2020-01-03,D,1,$294.69
Microsoft (MSFT),MSFT,2020-01-03,D,1,$158.62
Nike (NKE),NKE,2020-01-03,D,1,$101.92
Procter & Gamble (PG),PG,2020-01-03,D,1,$122.58
Starbucks (SBUX),SBUX,2020-01-03,L,1,$88.83
Shake Shack (SHAK),SHAK,2020-01-03,L,2,$60.49
Schlumberger (SLB),SLB,2020-01-03,D,1,$40.56
Constellation Brands (STZ),STZ,2020-01-03,D,4,$189.53
Target (TGT),TGT,2020-01-03,D,1,$124.76
US Bancorp (USB),USB,2020-01-03,L,1,$58.51
Visa (V),V,2020-01-03,D,1,$189.60
ViacomCBS (VIAC),VIAC,2020-01-03,L,1,$41.45
Walgreens Boots Alliance (WBA),WBA,2020-01-03,D,5,$59.08
Wendy's (WEN),WEN,2020-01-03,L,1,$22.38
Walmart (WMT),WMT,2020-01-03,D,1,$117.89
Axon Enterprise (AAXN),AAXN,2020-01-06,I,1,$68.75
American Electric Power (AEP),AEP,2020-01-06,D,1,$93.67
Amarin (AMRN),AMRN,2020-01-06,L,1,$21.23
CrowdStrike (CRWD),CRWD,2020-01-06,D,1,$55.11
Dominion Energy (D),D,2020-01-06,D,1,$82.39
Consolidated Edison (ED),ED,2020-01-06,D,1,$88.34
Enphase Energy (ENPH),ENPH,2020-01-06,L,4,$29.66
SPDR Gold Shares (GLD),GLD,2020-01-06,D,1,$147.39
Barrick Gold (GOLD),GOLD,2020-01-06,D,1,$18.39
Nordstrom (JWN),JWN,2020-01-06,D,1,$40.98
Kohl's (KSS),KSS,2020-01-06,D,1,$50.06
L3Harris Technologies (LHX),LHX,2020-01-06,D,1,$211.72
MarketAxess (MKTX),MKTX,2020-01-06,L,1,$374.08
Nokia (NOK),NOK,2020-01-06,L,2,$3.94
Natera (NTRA),NTRA,2020-01-06,L,1,$33.77
Planet Fitness (PLNT),PLNT,2020-01-06,I,1,$75.04
