Date,Top5,Bottom5
2020-10-31,"['WFC', 'NKLA', 'C', 'GPRO', 'AMWL']","['F', 'HD', 'PTON', 'TSLA', 'AAPL']"
2020-11-30,"['NKLA', 'SPG', 'TSN', 'SJM', 'MDT']","['TGT', 'HON', 'BA', 'TSLA', 'AAPL']"
2020-12-31,"['INTC', 'SBE', 'OXY', 'MLHR', 'XOM']","['AAPL', 'NFLX', 'SNOW', 'NKE', 'TSLA']"
2021-01-31,"['FUBO', 'PTON', 'SQ', 'WFC', 'PENN']","['PLUG', 'AMD', 'HD', 'AAPL', 'TSLA']"
2021-02-28,"['GME', 'KR', 'AMC', 'UBER', 'PTON']","['LRCX', 'AAPL', 'AMAT', 'BA', 'DIS']"
2021-03-31,"['GME', 'RIDE', 'T', 'NKE', 'RNG']","['F', 'NUE', 'RH', 'BA', 'TSLA']"
2021-04-30,"['ASAN', 'AMWL', 'GME', 'XOM', 'XL']","['NFLX', 'MSFT', 'HON', 'F', 'AAPL']"
2021-05-31,"['RIDE', 'T', 'ZM', 'SQ', 'BBY']","['HD', 'NUE', 'GPS', 'RBLX', 'TGT']"
2021-06-30,"['GME', 'CRSR', 'CVNA', 'WBA', 'WOOF']","['AMD', 'ADBE', 'FB', 'AAPL', 'NVDA']"
2021-07-31,"['DIDI', 'CCIV', 'PTON', 'AMC', 'BAC']","['POSH', 'LEVI', 'DPZ', 'AMD', 'AAPL']"
2021-08-31,"['DIDI', 'BIDU', 'BABA', 'APD', 'PINS']","['REGN', 'WMT', 'DVN', 'NUE', 'PXD']"
2021-09-30,"['NKE', 'YOU', 'WRBY', 'TOST', 'BROS']","['AAPL', 'CVX', 'AFRM', 'TELL', 'ADBE']"
2021-10-31,"['PTON', 'ZG', 'LSPD', 'WBA', 'ACCD']","['MS', 'BAC', 'NUE', 'MSFT', 'AAPL']"
2021-11-30,"['DOCU', 'MRNA', 'PTON', 'Z', 'AMC']","['DASH', 'PANW', 'MSFT', 'M', 'NVDA']"
2021-12-31,"['BZFD', 'PRG', 'BB', 'BIRD', 'W']","['DIS', 'WSM', 'AAPL', 'LLY', 'F']"
